code,description
02071391,"Ficat, comestibil, proaspat sau refrigerat, de cocosi si de gaini din specia Gallus domesticus"
02071399,"Alte organe comestibile, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus (excl.ficat)"
02071410,"Bucati dezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071420,"Jumatati sau sferturi, nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071430,"Aripi intregi, cu sau  fara varfuri, nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071440,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071450,"Piept si bucati de piept, nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071460,"Pulpe si bucati de pulpe, nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus"
02071470,"Alte bucati nedezosate, comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe)"
02071491,"Ficat, comestibil, congelat, de cocosi si de gaini din specia Gallus domesticus"
02071499,"Organe comestibile, congelate, de cocosi si de gaini din specia Gallus domesticus (excl.ficat)"
02072410,"Curcani si curci, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare, cu gat, inima, ficat si pipota, denumite curcani 80%"
02072490,"Curcani si curci, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si gat, fara picioare, inima, ficat si pipota, denumite curcani 73%, sau altfel prezentate"
02072510,"Curcani si curci, netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare, cu gat, inima, ficat si pipota, denumite curcani 80%"
02072590,"Curcani si curci, netransate in bucati, congelate, fara pene, eviscerate, fara cap si gat, fara picioare, inima, ficat si pipota, denumite curcani 73%, sau altfel prezentati"
02072610,"Bucati dezosate de curcani si de curci, proaspete sau refrigerate"
02072620,"Jumatati sau sferturi, nedezosate, de curcani si de curci, proaspete sau refrigerate"
02072630,"Aripi intregi, cu sau fara varfuri, nedezosate,  de curcani si de curci, proaspete sau refrigerate"
02072640,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, de curcani si de curci, proaspete sau refrigerate"
02072650,"Piept si bucati de piept, nedezosate, de curcani si de curci, proaspete sau refrigerate"
02072660,"Copane si bucati de copane, nedezosate, de curcani si de curci, proaspete sau refrigerate"
02072670,"Pulpe si bucati de pulpe, nedezosate, de curcani si de curci, proaspete sau refrigerate (excl.copane)"
02072680,"Bucati nedezosate de curcani si de curci, proaspete sau refrigerate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe)"
02072691,"Ficat, comestibil, de curcani si de curci, proaspat sau refrigerat"
02072699,"Organe comestibile de curcani si de curci, proaspete sau refrigerate (excl.ficat)"
02072710,"Bucati dezosate, comestibile, de curcani si de curci, congelate"
02072720,"Jumatati sau sferturi, nedezosate, comestibile, de curcani si de curci, congelate"
02072730,"Aripi intregi, cu sau fara varfuri, nedezosate, comestibile, de curcani si de curci, congelate"
02072740,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, comestibile, de curcani si de curci, congelate"
02072750,"Piept si bucati de piept, nedezosate, comestibile, de curcani si de curci, congelate"
02072760,"Copane si bucati de copane, nedezosate, comestibile, de curcani si de curci, congelate"
02072770,"Pulpe si bucati de pulpe, nedezosate, comestibile, de curcani si de curci, congelate (excl.copane)"
02072780,"Bucati, comestibile, de curcani si de curci, congelate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe)"
02072791,"Ficat, comestibil, de curcani si de curci, congelat"
02072799,"Organe comestibile, de curcani si de curci, congelate (excl.ficat)"
02074120,"Rate, netransate in bucati, proaspete sau refrigerate, fara pene si sange, fara intestine, dar neeviscerate, cu cap si picioare, denumite rate 85%"
02074130,"Rate, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare, cu gat, inima, ficat si pipota, denumite rate 70%"
02074180,"Rate, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare si fara gat, inima, ficat si pipota, denumite rate 63%, sau altfel prezentate"
02074230,"Rate, netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare, cu gat, inima, ficat si pipota, denumite rate 70%"
02074280,"Rate, netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare si fara gat, inima, ficat si pipota, denumite rate 63%, sau altfel prezentate"
02074300,"Ficat gras, de rata, proaspat sau refrigerat"
02074410,"Bucati dezosate, comestibile, de rata, proaspete sau refrigerate"
02074421,"Jumatati sau sferturi, nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074431,"Aripi intregi, cu sau fara varfuri, nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074441,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi,  nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074451,"Piept si bucati de piept, nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074461,"Pulpe si bucati de pulpe, nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074471,"Parti numite trunchi de rate, nedezosate, comestibile, de rata, proaspete sau refrigerate"
02074481,"Bucati nedezosate, comestibile, de rata, proaspete sau refrigerate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe,trunchi)"
02074491,"Ficat, altul decat ficatul gras, de rata, proaspat sau refrigerat"
02074499,"Organe comestibile, de rata, proaspete sau refrigerate (excl.ficat)"
02074510,"Bucati dezosate, comestibile, de rata, congelate"
02074521,"Jumatati sau sferturi, nedezosate, comestibile, de rata, congelate"
02074531,"Aripi intregi, cu sau fara varfuri, nedezosate, comestibile, de rata, congelate"
02074541,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, comestibile, de rata, congelate"
02074551,"Piept si bucati de piept, nedezosate, comestibile, de rata, congelate"
02074561,"Pulpe si bucati de pulpe, nedezosate, comestibile, de rata, congelate"
02074571,"Parti numite trunchi de rate, nedezosate, comestibile, de rata, congelate"
02074581,"Bucati nedezosate, comestibile, de rata, congelate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe, trunchi)"
02074593,"Ficat gras de rata, congelat"
02074595,"Ficat de rata (excl. ficat gras), congelat"
02074599,"Organe comestibile, de rata, congelate (excl. ficat)"
02075110,"Gaste netransate in bucati, proaspete sau refrigerate, fara pene si sange, neeviscerate, cu cap si picioare, denumite gaste 82%"
02101290,"Piept (impanat) si bucati din acesta, de porcine (excl.domestice), sarate sau in saramura, uscate sau afumate"
02075190,"Gaste netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare, cu sau fara inima si pipota, denumite gaste 75%, sau altfel prezentate"
02075210,"Gaste netransate in bucati, congelate, fara pene si sange, neeviscerate, cu cap si picioare, denumite gaste 82%"
02075290,"Gaste netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare, cu sau fara inima si pipota, denumite gaste 75%, sau altfel prezentate"
02075300,"Ficat gras, de gasca, proaspat sau refrigerat"
02075410,"Bucati dezosate, comestibile, de gasca, proaspete sau refrigerate"
02075421,"Jumatati sau sferturi, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075431,"Aripi intregi, cu sau fara varfuri, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075441,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075451,"Piept si bucati de piept, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075461,"Pulpe si bucati de pulpe, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075471,"Parti numite trunchi de gaste, nedezosate, comestibile, de gasca, proaspete sau refrigerate"
02075481,"Bucati nedezosate, comestibile, de gasca, proaspete sau refrigerate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe, trunchi)"
02075491,"Ficat, altul decat ficatul gras, de gasca, proaspete sau refrigerate"
02075499,"Organe comestibile, de gasca, proaspete sau refrigerate (excl.ficat)"
02075510,"Bucati dezosate de gasca, congelate"
02075521,"Jumatati sau sferturi, nedezosate de gasca, congelate"
02075531,"Aripi intregi, cu sau fara varfuri, nedezosate de gasca, congelate"
02075541,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate de gasca, congelate"
02075551,"Piept si bucati de piept, nedezosate de gasca, congelate"
02075561,"Pulpe si bucati de pulpe, nedezosate de gasca, congelate"
02075571,"Parti numite trunchi de gaste, nedezosate de gasca, congelate"
02075581,"Bucati nedezosate de gasca, congelate (excl.jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe, trunchi)"
02075593,"Ficat gras de gasca, congelat"
02075595,"Ficat de gasca, congelat (excl.ficat gras)"
02075599,"Organe comestibile de gasca, congelate (excl.ficat)"
02076005,"Bibilici netransate in bucati, proaspete, refrigerate sau congelate"
02076010,"Bucati dezosate de bibilica, proaspete, refrigerate sau congelate"
02076021,"Jumatati sau sferturi, nedezosate de bibilica, proaspete, refrigerate sau congelate"
02076031,"Aripi intregi, cu sau fara varfuri, nedezosate de bibilica, proaspete, refrigerate sau congelate"
02076041,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate de bibilica, proaspete, refrigerate sau congelate"
02076051,"Piept si bucati de piept, nedezosate de bibilica, proaspete, refrigerate sau congelate"
02076061,"Pulpe si bucati de pulpe, nedezosate de bibilica, proaspete, refrigerate sau congelate"
02076081,"Bucati nedezosate de bibilica, proaspete, refrigerate sau congelate (excl. jumatati sau sferturi, aripi, spate, gaturi, piept, pulpe)"
02076091,"Ficat de bibilica, proaspat, refrigerat sau congelat"
02076099,"Organe comestibile de bibilica, proaspete, refrigerate sau congelate (excl.ficat)"
02081010,"Carne si organe comestibile de iepuri domestici , proaspete, refrigerate sau congelate"
02081090,"Carne si organe comestibile de iepuri de camp, proaspete, refrigerate sau congelate"
02083000,"Carne si organe comestibile de primate, proaspete, refrigerate sau congelate"
02084010,"Carne de balena, proaspata, refrigerata sau congelata"
02084020,"Carne de foca, proaspata, refrigerata sau congelata"
